number,name,Valuation_US_billions,Valuation_date,Industry,Country,size_group,country,year,rule_of_law,GDP_blnUSD,GDP_per_capita_tUSD,Population
55,Benevity,1.1,"December 2020[429]","Software as a service",Canada,medium,Canada,2022,0.799884,2189.79,56.9452,38454327
56,BenevolentAI,1.85,"August 2015[5]","Drug discovery",UK,medium,UK,2022,0.787744,3442.21,50.989,67508936
57,Better.com,6,"April 2021[96]","Financial services",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
58,BharatPe,2.8,"August 2021[221]","Financial technology",India,large,India,2022,0.49721,3250.08,2.29335,1417173173
59,BigID,1.25,"May 2018[389]",Cybersecurity,Israel,medium,Israel,2022,0.95,522.033,57.758,9038309
60,BillDesk,1.8,"November 2018[310]","Financial technology",India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
62,Bird,2.78,"October 2019[226]",Transportation,US,large,US,2022,0.707235,24796.1,73.2983,338289857
64,Bitpanda,4.1,"August 2021[140]",Cryptocurrency,Austria,huge,Austria,2022,0.802697,520.343,58.2064,8939617
65,BitSight,2.4,"September 2021[249]",Cybersecurity,US,large,US,2022,0.707235,24796.1,73.2983,338289857
66,Bitso,2.2,"May 2021[261]",Cryptocurrency,Mexico,large,Mexico,2022,0.422937,1371.64,10.7576,127504125
67,bKash,2,"November 2021[272][273]","Mobile financial services",Bangladesh,large,Bangladesh,2022,0.390675,390.608,2.28177,171186372
68,BlaBlaCar,2,"April 2021[282]",Transportation,France,large,France,2022,0.730796,3140.03,48.5872,64626628
69,Blackbuck,1,"July 2021[447]",Logistics,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
70,Blibli,1,"December 2021",E-commerce,Indonesia,medium,Indonesia,2022,0.531363,1247.35,4.52756,275501339
71,Blinkit,1,"June 2021[474]",Retail,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
72,Blockchain.com,5.2,"March 2021[109]",Cryptocurrency,UK,huge,UK,2022,0.787744,3442.21,50.989,67508936
73,Blockstream,3.2,"August 2021[184]",Blockchain,Canada,large,Canada,2022,0.799884,2189.79,56.9452,38454327
74,Bluecore,1,"August 2021[449]",E-commerce,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
75,BlueVoyant,1,"February 2022[565]",Cybersecurity,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
76,Bolt,8.4,"January 2022[67]",Transportation,Estonia,huge,Estonia,2022,0.816575,39.542,29.8191,1326062
77,"Bolt Financial",11,"January 2022[42]","Financial technology",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
78,"Bought By Many",2,"June 2021[275]",Insurance,UK,large,UK,2022,0.787744,3442.21,50.989,67508936
79,"Branch Metrics",4,"February 2022[143]",Marketing,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
81,Bringg,1,"June 2021[450]",Logistics,Israel,medium,Israel,2022,0.95,522.033,57.758,9038309
82,BrowserStack,4,"June 2021[144]",Software,India,huge,India,2022,0.49721,3250.08,2.29335,1417173173
83,Bucketplace,1.4,"May 2022[361]","Interior design","South Korea",medium,"South Korea",2022,0.732536,0,0,51815810
84,Bunq,1.9,"July 2021[306]","Financial services",Netherlands,large,Netherlands,2022,0.834922,1070.75,60.9627,17564014
87,Byton,1.2,"June 2018[124]",Automotive,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
88,"C6 BankР’В [pt]",2.1,"December 2020[267]","Financial services",Brazil,large,Brazil,2022,0.494266,1810.61,8.28498,218541212
89,Cabify,1.4,"January 2018[362]",Transportation,Spain,medium,Spain,2022,0.726748,1570.91,33.031,47558630
90,"Cadence Solutions, Inc.",1,"December 2021[451]",Healthcare,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
91,Calabrio,1,"March 2021[452]",Software,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
92,Calendly,3,"January 2021[199]",Software,US,large,US,2022,0.707235,24796.1,73.2983,338289857
93,Calm,2,"December 2020[283]","Digital health",US,large,US,2022,0.707235,24796.1,73.2983,338289857
95,"Caocao Zhuanche",1.6,"January 2018[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
96,CarDekho,1.2,"October 2021[402]",Marketplace,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
97,Carousell,1.1,"September 2021[420]",Marketplace,Singapore,medium,Singapore,2022,0.776887,396.995,66.435,5975689
98,Carro,1,"June 2021[453]",Marketplace,Singapore,medium,Singapore,2022,0.776887,396.995,66.435,5975689
99,CARS24,3.3,"December 2021[172]",Marketplace,India,large,India,2022,0.49721,3250.08,2.29335,1417173173
100,Carsome,1,"July 2021[454]",Marketplace,Malaysia,medium,Malaysia,2022,0.565179,415.375,12.2392,33938221
101,Carta,7.4,"August 2021[78]",Software,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
102,"Cato Networks",2.5,"October 2021[242]",Cybersecurity,Israel,large,Israel,2022,0.95,522.033,57.758,9038309
103,Celonis,11,"June 2021[40]",Software,Germany,huge,Germany,2022,0.83426,4557.35,54.6642,83369843
104,Chainalysis,4.2,"June 2021[citation needed][137]",Blockchain,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
105,Chargebee,1.4,"April 2021[363]","Financial technology",India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
107,Checkr,4.6,"August 2021[131]","Human resource management",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
108,Chehaoduo,10,"July 2021[46]",Marketplace,China,huge,China,2022,0.471806,18463.1,12.9485,1425887337
110,"Chubao Technology",1,"May 2017[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
111,Clara,1,"December 2021[438]","Financial technology",Mexico,medium,Mexico,2022,0.422937,1371.64,10.7576,127504125
112,Clari,1.6,"March 2021[331]",Software,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
113,Clearco,2,"April 2021[284]","Financial services",Canada,large,Canada,2022,0.799884,2189.79,56.9452,38454327
114,ClickHouse,2,"October 2021[285]","Database management",US,large,US,2022,0.707235,24796.1,73.2983,338289857
115,Clio,1.6,"April 2021[332]","Legal technology",Canada,medium,Canada,2022,0.799884,2189.79,56.9452,38454327
116,Clip,2,"June 2021[286]","Financial technology",Mexico,large,Mexico,2022,0.422937,1371.64,10.7576,127504125
117,CloudKitchens,5,"November 2019[114]","Ghost kitchen",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
118,Clubhouse,4,"April 2021[145]",Messaging,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
119,"CMR Surgical",3,"January 2021[194]",Robotics,UK,large,UK,2022,0.787744,3442.21,50.989,67508936
120,Coalition,3.5,"September 2021[165]",Cybersecurity,US,large,US,2022,0.707235,24796.1,73.2983,338289857
121,"Cockroach Labs",2,"January 2021[287]","Database management",US,large,US,2022,0.707235,24796.1,73.2983,338289857
122,Cognite,1.6,"May 2021",Software,Norway,medium,Norway,2022,0.889432,458.398,84.3524,5434319
123,Cohesity,3.7,"March 2021[158]",Software,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
124,CoinDCX,1.1,"August 2021[421]",Cryptocurrency,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
125,"CoinSwitch Kuber",1.9,"October 2021[307]",Cryptocurrency,India,large,India,2022,0.49721,3250.08,2.29335,1417173173
126,Collibra,5,"January 2019[112]","Data governance",Belgium,huge,Belgium,2022,0.791337,619.16,53.1197,11655930
127,Commure,3.5,"September 2021[166]","Health technology",US,large,US,2022,0.707235,24796.1,73.2983,338289857
128,ConsenSys,3.2,"November 2021[185]",Blockchain,US,large,US,2022,0.707235,24796.1,73.2983,338289857
129,Contentful,3,"July 2021[201]","Content management system",Germany,large,Germany,2022,0.83426,4557.35,54.6642,83369843
130,Contentsquare,5.6,"August 2022[94]","Software as a service",France,huge,France,2022,0.730796,3140.03,48.5872,64626628
131,Convoy,2.75,"November 2019[227]",Trucking,US,large,US,2022,0.707235,24796.1,73.2983,338289857
132,Copado,1.2,"September 2021",Software,Spain,medium,Spain,2022,0.726748,1570.91,33.031,47558630
133,CRED,6.4,"June 2022[91]","Financial technology",India,huge,India,2022,0.49721,3250.08,2.29335,1417173173
134,CreditasР’В [pt],1.75,"December 2020[citation needed]","Financial services",Brazil,medium,Brazil,2022,0.494266,1810.61,8.28498,218541212
135,"Culture Amp",1.5,"July 2021[342]",Software,Australia,medium,Australia,2022,0.794077,1677.45,64.0801,26177413
136,CureFit,1.56,"November 2021[339]",,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
137,Cybereason,3.2,"July 2021[186]",Cybersecurity,Israel,large,Israel,2022,0.95,522.033,57.758,9038309
138,"Daangn Market",2.7,"August 2021[231]",E-commerce,"South Korea",large,"South Korea",2022,0.732536,0,0,51815810
139,Dada,1.2,"August 2018[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
140,DANA,1,"September 2022","Financial technology",Indonesia,medium,Indonesia,2022,0.531363,1247.35,4.52756,275501339
141,"Dapper Labs",7.6,"September 2021[75]",NFT,Canada,huge,Canada,2022,0.799884,2189.79,56.9452,38454327
143,Dataiku,4.6,"August 2021[132]","Artificial intelligence",France,huge,France,2022,0.730796,3140.03,48.5872,64626628
144,Dataminr,4.1,"March 2021[141]","Data analytics",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
145,DataRobot,6.3,"July 2021[92]","Artificial intelligence",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
146,Deel,1.25,"April 2021[390]",,Israel,medium,Israel,2022,0.95,522.033,57.758,9038309
147,Deezer,1,"August 2022[94]",Music,France,medium,France,2022,0.730796,3140.03,48.5872,64626628
148,Deliverect,1.4,"January 2022[235]","Ordering software for POS",Belgium,medium,Belgium,2022,0.791337,619.16,53.1197,11655930
149,"Dental Monitoring",1.2,"October 2021[403]",Healthcare,France,medium,France,2022,0.730796,3140.03,48.5872,64626628
150,"Deutsche Health",1.2,"August 2020[124]",,Germany,medium,Germany,2022,0.83426,4557.35,54.6642,83369843
151,"Devo Inc",1.5,"October 2021[343]",Software,Spain,medium,Spain,2022,0.726748,1570.91,33.031,47558630
153,"Digit Insurance",3.5,"July 2021[167]",Insurance,India,large,India,2022,0.49721,3250.08,2.29335,1417173173
154,"Digital Currency Group",10,"November 2021[47]","Venture capital",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
156,DistroKid,1.3,"August 2021[380]",Music,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
157,"Divvy Homes",2,"August 2021[288]","Real estate technology",US,large,US,2022,0.707235,24796.1,73.2983,338289857
159,Doctolib,6.2,"August 2022[94]",Healthcare,France,huge,France,2022,0.730796,3140.03,48.5872,64626628
160,Dragos,1.7,"October 2021[318]",Cybersecurity,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
161,"Dream Games",1,"June 2021[455]","Video games",Turkey,medium,Turkey,2022,0.416907,0,0,85341241
162,Dream11,8,"November 2021[71]","Fantasy sports",India,huge,India,2022,0.49721,3250.08,2.29335,1417173173
163,DriveWealth,2.85,"August 2021[220]","Financial technology",US,large,US,2022,0.707235,24796.1,73.2983,338289857
164,Droom,1.2,"July 2021[404]",Marketplace,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
165,Druva,2,"April 2021[289]","Cloud computing",India,large,India,2022,0.49721,3250.08,2.29335,1417173173
166,"Dt Dream",1,"June 2017[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
167,Dunamu,1,"Jul 2021[456]","Financial technology","South Korea",medium,"South Korea",2022,0.732536,0,0,51815810
168,dutchie,1.7,"March 2021[319]",Cannabis,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
169,DXY,1,"April 2018[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
170,Earnix,1,"February 2021[457]","Financial technology",Israel,medium,Israel,2022,0.95,522.033,57.758,9038309
171,Ebanx,1,"October 2019[458]","Financial services",Brazil,medium,Brazil,2022,0.494266,1810.61,8.28498,218541212
172,Eightfold.ai,2.1,"June 2021[265]","Artificial intelligence",US,large,US,2022,0.707235,24796.1,73.2983,338289857
173,Einride,1.44,"April 2022[59]",Technology,Sweden,medium,Sweden,2022,0.857421,660.918,62.6501,10549347
174,EMPG,1,"June 2020[459]","Real estate technology",UAE,medium,UAE,2022,0.63382,427.93,45.3261,9441129
175,Emplifi,1,"March 2022[435]",Technology,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
177,"Epidemic Sound",1.4,"March 2021[364]",Music,Sweden,medium,Sweden,2022,0.857421,660.918,62.6501,10549347
178,Eruditus,3.2,"August 2021[187]","Educational technology",India,large,India,2022,0.49721,3250.08,2.29335,1417173173
179,eSentire,1,"Feb 2022[460]",Cybersecurity,Canada,medium,Canada,2022,0.799884,2189.79,56.9452,38454327
180,ETCP,1.3,"October 2016[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
181,eToro,2.5,"December 2020[243]","Financial technology",Israel,large,Israel,2022,0.95,522.033,57.758,9038309
182,Exabeam,2.4,"June 2021[250]",Cybersecurity,US,large,US,2022,0.707235,24796.1,73.2983,338289857
183,Exotec,2,"August 2022[94]",Robotics,France,large,France,2022,0.730796,3140.03,48.5872,64626628
184,ezCater,1.25,"April 2019[391]",,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
185,Fair,1.2,"December 2018[405]",,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
188,Feedzai,1.3,"March 2021[381]","Artificial intelligence",Portugal,medium,Portugal,2022,0.689294,271.191,26.4039,10270865
189,Figma,10,"June 2021[48]",Software,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
190,FirstCry,1.2,"February 2020[406]",E-commerce,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
191,Firstp2p,2,"September 2016[5]","Financial services",China,large,China,2022,0.471806,18463.1,12.9485,1425887337
192,FiscalNote,1.4,"May 2021[365]","Data analytics",US,medium,US,2022,0.707235,24796.1,73.2983,338289857
193,"Five Star Finance",1.4,"March 2021[366]","Financial services",India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
194,Fivetran,5.6,"September 2021[100]","Data infrastructure",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
195,"Flash Express",1,"June 2021[461][462]",Logistics,Thailand,medium,Thailand,2022,0.495275,585.586,8.16751,71697030
196,Flexe,1,"July 2022[463]",Logistics,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
197,Flexport,8,"February 2022[72]",Logistics,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
198,FlixMobility,2,"August 2019[276]",Transportation,Germany,large,Germany,2022,0.83426,4557.35,54.6642,83369843
199,FloQast,1.2,"July 2021[407]",Software,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
200,Flutterwave,1,"March 2021[464]","Financial technology",Nigeria,medium,Nigeria,2022,0.407704,555.346,2.54115,218541212
201,Formlabs,2,"May 2021[290]","3D printing",US,large,US,2022,0.707235,24796.1,73.2983,338289857
202,Forter,3,"May 2021[202]",Software,Israel,large,Israel,2022,0.95,522.033,57.758,9038309
203,Forto,1.2,"June 2021[408]",Software,Germany,medium,Germany,2022,0.83426,4557.35,54.6642,83369843
204,Fractal,1,"January 2022","Artificial intelligence",India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
205,FreshBooks,1,"August 2021[465]","Accounting software",Canada,medium,Canada,2022,0.799884,2189.79,56.9452,38454327
206,"Frontline Education",1,"September 2017[466]",,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
207,FXiaoKe,1,"January 2018[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
208,G2,1.3,"June 2021[382]",Technology,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
209,Gelato,1,"August 2021[467]",,Norway,medium,Norway,2022,0.889432,458.398,84.3524,5434319
210,GeoComply,1,"March 2021[468]",Cybersecurity,Canada,medium,Canada,2022,0.799884,2189.79,56.9452,38454327
211,GetBlock,4.6,"June 2020[123]",Blockchain,Georgia,huge,Georgia,2022,0.601986,19.688,5.25801,3744385
213,Gett,1.5,"May 2019[344]",Transportation,Israel,medium,Israel,2022,0.95,522.033,57.758,9038309
214,GetYourGuide,1,"May 2019[469]",Travel,Germany,medium,Germany,2022,0.83426,4557.35,54.6642,83369843
215,Glance,1,"December 2020[470]","Artificial intelligence",India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
216,GlobalBees,1.1,"December 2021[423]",,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
217,Glossier,1.2,"March 2019[409]",,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
218,Go1,1,"July 2021[471]",Education,Australia,medium,Australia,2022,0.794077,1677.45,64.0801,26177413
219,GoGoVan,1,"September 2017[472]",Technology,"Hong Kong",medium,"Hong Kong",2022,0.727392,0,0,7488865
220,Gong,7.25,"June 2021[81]","Artificial intelligence",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
223,Gorillas,1,"March 2021[473]",Retail,Germany,medium,Germany,2022,0.83426,4557.35,54.6642,83369843
224,GoStudent,1.67,"June 2021[326]","Educational technology",Austria,medium,Austria,2022,0.802697,520.343,58.2064,8939617
225,Gousto,1,"November 2020[citation needed]","Meal kit",UK,medium,UK,2022,0.787744,3442.21,50.989,67508936
226,GPClub,1.32,"December 2018[252]",,"South Korea",medium,"South Korea",2022,0.732536,0,0,51815810
227,"Grafana Labs",3,"August 2021[203]",Software,US,large,US,2022,0.707235,24796.1,73.2983,338289857
229,Graphcore,2.8,"December 2020[222]",Semiconductors,UK,large,UK,2022,0.787744,3442.21,50.989,67508936
230,"Grove Collaborative",1,"September 2019[citation needed]",,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
231,Grover,1,"April 2022 [475]",E-commerce,Germany,medium,Germany,2022,0.83426,4557.35,54.6642,83369843
232,Groww,3,"April 2021[204]","Financial technology",India,large,India,2022,0.49721,3250.08,2.29335,1417173173
233,Gupshup,1.4,"April 2021[367]",Messaging,India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
234,Gusto,10,"August 2021[49]",Software,US,huge,US,2022,0.707235,24796.1,73.2983,338289857
235,Gympass,2.2,"June 2021[262]",Fitness,US,large,US,2022,0.707235,24796.1,73.2983,338289857
236,Gymshark,1,"August 2020[436]",Sportswear,UK,medium,UK,2022,0.787744,3442.21,50.989,67508936
237,Hailo,1,"June 2021[476]",Electronics,Israel,medium,Israel,2022,0.95,522.033,57.758,9038309
238,Harness,1.7,"June 2021[320]",Software,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
239,HeartFlow,1.5,"February 2018[340]",,US,medium,US,2022,0.707235,24796.1,73.2983,338289857
240,"Hello TransTech",5,"March 2021[115]",Transportation,China,huge,China,2022,0.471806,18463.1,12.9485,1425887337
241,Hellobike,1.47,"June 2018[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
242,HeyTea,9.3,"July 2021[61]",Retail,China,huge,China,2022,0.471806,18463.1,12.9485,1425887337
243,Hibob,1.65,"October 2021[327]","HR technology",Israel,medium,Israel,2022,0.95,522.033,57.758,9038309
244,HighRadius,1,"January 2020[477]","Software as a service",India,medium,India,2022,0.49721,3250.08,2.29335,1417173173
245,Highspot,2.3,"February 2021[253]",Sales,US,large,US,2022,0.707235,24796.1,73.2983,338289857
246,"Hinge Health",3,"January 2021[205]",Healthcare,US,large,US,2022,0.707235,24796.1,73.2983,338289857
247,Hive,2,"April 2021[278]","Artificial intelligence",US,large,US,2022,0.707235,24796.1,73.2983,338289857
248,HomeLight,1.6,"September 2021[333]","Real estate",US,medium,US,2022,0.707235,24796.1,73.2983,338289857
249,HoneyBook,2.4,"November 2021[248]","Financial services",Israel,large,Israel,2022,0.95,522.033,57.758,9038309
250,Hopin,7.75,"August 2021[74]","Virtual event",UK,huge,UK,2022,0.787744,3442.21,50.989,67508936
251,Hopper,5,"August 2021[116]",Travel,Canada,huge,Canada,2022,0.799884,2189.79,56.9452,38454327
252,"Horizon Robotics",3,"February 2018[206]",Semiconductors,China,large,China,2022,0.471806,18463.1,12.9485,1425887337
253,Houzz,4,"June 2017[146]","Interior design",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
254,"Huikedu Group",1,"May 2018[124]",,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
255,Huimin.cn,2,"September 2016[124]","B2B e-commerce",China,large,China,2022,0.471806,18463.1,12.9485,1425887337
256,IAD,1.4,"Oct 2021[368]","Real estate",France,medium,France,2022,0.730796,3140.03,48.5872,64626628
257,"iCapital Network",4,"July 2021[147]","Financial services",US,huge,US,2022,0.707235,24796.1,73.2983,338289857
258,iCarbonX,1,"July 2016[124]",Healthcare,China,medium,China,2022,0.471806,18463.1,12.9485,1425887337
259,Icertis,2.8,"March 2021[223]",Software,India,large,India,2022,0.49721,3250.08,2.29335,1417173173
260,ID.me,1.5,"March 2021[345]","Identity verification service",US,medium,US,2022,0.707235,24796.1,73.2983,338289857
261,IFood,1,"November 2018[478]","Food delivery",Brazil,medium,Brazil,2022,0.494266,1810.61,8.28498,218541212
262,IGAWorks,1,"Aug 2021[479]","Advertising technology","South Korea",medium,"South Korea",2022,0.732536,0,0,51815810
263,Illumio,2.75,"June 2021[228]",Cybersecurity,US,large,US,2022,0.707235,24796.1,73.2983,338289857
264,Improbable,1,"May 2017[480]","Cloud computing",UK,medium,UK,2022,0.787744,3442.21,50.989,67508936
265,Incode,1.25,"December 2021[387]",Technology,Mexico,medium,Mexico,2022,0.422937,1371.64,10.7576,127504125
